clinical_status,compound_id,indication_id,max_phase,source_doc_id
preclinical,CHEMBL105442,mesh_d001943,0,chembl:CHEMBL105442
preclinical,CHEMBL105442,mesh_d008175,0,chembl:CHEMBL105442
preclinical,CHEMBL105442,mesh_d015179,0,chembl:CHEMBL105442
preclinical,CHEMBL107367,mesh_d008103,0,chembl:CHEMBL107367
preclinical,CHEMBL1078685,mesh_d003928,0,chembl:CHEMBL1078685
preclinical,CHEMBL1078685,mesh_d033461,0,chembl:CHEMBL1078685
preclinical,CHEMBL1079175,mesh_d006528,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d002292,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d009303,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d015451,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d002282,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d016403,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d008545,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d011471,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d018287,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d002289,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d018567,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d012004,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d001943,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d008175,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d016889,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d003110,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d005910,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d018281,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d064726,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d009369,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d002294,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d010190,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d007945,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d005706,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d001650,0,chembl:CHEMBL1079175
preclinical,CHEMBL1079175,mesh_d008113,0,chembl:CHEMBL1079175
preclinical,CHEMBL1084173,mesh_d029424,0,chembl:CHEMBL1084173
preclinical,CHEMBL1084617,mesh_d054058,0,chembl:CHEMBL1084617
