compound_id,confidence,context_type,mention_count,paper_id
CHEMBL2107455,1.0,abstract,1,37392683
CHEMBL413,1.0,abstract,1,37392683
CHEMBL3137343,1.0,abstract,1,32675150
CHEMBL384467,1.0,abstract,1,38156928
CHEMBL1200761,1.0,abstract,1,35996068
CHEMBL4297715,1.0,abstract,1,35996068
CHEMBL4297829,1.0,abstract,1,35996068
CHEMBL10878,1.0,abstract,1,36430306
CHEMBL3707227,1.0,abstract,1,35541908
CHEMBL1946170,1.0,abstract,1,41655134
CHEMBL3301610,1.0,abstract,1,36446794
CHEMBL2108738,1.0,abstract,1,38660145
CHEMBL1789844,1.0,abstract,1,38660145
CHEMBL4535757,1.0,abstract,1,39400496
CHEMBL1287853,1.0,abstract,1,39400496
CHEMBL1201631,1.0,abstract,1,40244011
