confidence,context_type,mention_count,paper_id,target_id
1.0,,,41299456,ADRA2A
1.0,,,37837428,ADRA2A
1.0,,,34965503,ADRA2A
1.0,,,35245122,ADRA2A
1.0,,,39124625,ADRA2A
1.0,,,39839219,ADRA2A
1.0,,,37310179,ADRA2A
1.0,,,34774203,ADRA2A
1.0,,,38291397,ADRA2A
1.0,,,36428611,ADRA2A
1.0,,,31688658,ADRA2A
1.0,,,37693312,ADRA2A
1.0,,,35984443,ADRA2A
1.0,,,36357671,ADRA2A
1.0,,,36642239,ADRA2A
1.0,,,40964316,ADRA2A
1.0,,,35189481,ADRA2A
1.0,,,35873555,ADRA2A
1.0,,,41454868,ADRA2A
1.0,,,31941827,ADRA2A
1.0,,,38635307,ADRA2A
1.0,,,41812653,ADRA2A
1.0,,,36983653,ADRA2A
1.0,,,31942277,ADRA2A
1.0,,,36696856,ADRA2A
1.0,,,34968108,ADRA2A
1.0,,,32256718,ADRA2A
1.0,,,37846556,ADRA2A
1.0,,,40281288,ADRA2A
1.0,,,36235040,ADRA2A
1.0,,,32739739,ADRA2A
1.0,,,32304290,ADRA2A
1.0,,,41577183,ADRA2A
1.0,,,33165417,ADRA2A
1.0,,,37140276,ADRA2A
1.0,,,38550331,ADRA2A
1.0,,,33402011,ADRA2A
1.0,,,32991788,ADRA2A
1.0,,,36313769,ADRA2A
1.0,,,34490040,ADRA2A
1.0,,,38212003,ADRA2A
1.0,,,34646329,ADRA2A
1.0,,,32009515,ADRA2A
1.0,,,33845366,ADRA2A
1.0,,,40850373,ADRA2A
1.0,,,41740308,ADRA2A
1.0,,,35116323,ADRA2A
1.0,,,41058112,ADRA2A
1.0,,,41831324,ADRA2A
1.0,,,36747878,EDNRA
1.0,,,40935879,EDNRA
1.0,,,39872637,EDNRA
1.0,,,36834836,EDNRA
1.0,,,40245183,EDNRA
1.0,,,39601333,EDNRA
1.0,,,39190310,EDNRA
1.0,,,36453252,EDNRA
1.0,,,34166551,EDNRA
1.0,,,40575333,EDNRA
1.0,,,39040110,EDNRA
1.0,,,41047038,EDNRA
1.0,,,34588605,EDNRA
1.0,,,34895946,EDNRA
1.0,,,34547467,EDNRA
1.0,,,32985601,EDNRA
1.0,,,40907688,EDNRA
1.0,,,39915329,EDNRA
1.0,,,36580726,EDNRA
1.0,,,32545475,EDNRA
1.0,,,39903883,EDNRA
1.0,,,41015321,EDNRA
1.0,,,38396976,EDNRA
1.0,,,35188389,EDNRA
1.0,,,36563318,EDNRA
1.0,,,36611924,EDNRA
1.0,,,41321787,EDNRA
1.0,,,36637912,EDNRA
1.0,,,37002490,EDNRA
1.0,,,34221916,EDNRA
1.0,,,36300085,EDNRA
1.0,,,37108136,EDNRA
1.0,,,36475746,EDNRA
1.0,,,39345358,EDNRA
1.0,,,33727850,EDNRA
1.0,,,37022597,EDNRA
1.0,,,35228812,EDNRA
1.0,,,38769606,EDNRA
1.0,,,36046450,EDNRA
1.0,,,35704945,EDNRA
1.0,,,39040193,EDNRA
1.0,,,40171762,EDNRA
1.0,,,39267843,EDNRA
1.0,,,35059083,EDNRA
1.0,,,35412111,EDNRA
1.0,,,38860875,EDNRA
1.0,,,38742936,EDNRA
1.0,,,41205313,EDNRA
1.0,,,40929764,EDNRA
1.0,,,39427825,EDNRA
1.0,,,34581092,EDNRA
1.0,,,41649882,EDNRA
1.0,,,41169049,EDNRA
1.0,,,41727459,EDNRA
1.0,,,39347789,EDNRB
1.0,,,35642564,EDNRB
1.0,,,32579471,EDNRB
1.0,,,39633565,EDNRB
1.0,,,39441930,EDNRB
1.0,,,38205153,EDNRB
1.0,,,33633356,EDNRB
1.0,,,40589973,EDNRB
1.0,,,40655025,EDNRB
1.0,,,40892354,EDNRB
1.0,,,40190193,EDNRB
1.0,,,35188389,EDNRB
1.0,,,38182908,EDNRB
1.0,,,40594106,EDNRB
1.0,,,40989245,EDNRB
1.0,,,37522903,EDNRB
1.0,,,41780337,EDNRB
1.0,,,31760579,EDNRB
1.0,,,34288510,EDNRB
1.0,,,38253993,EDNRB
1.0,,,38159176,EDNRB
1.0,,,37653150,EDNRB
1.0,,,33453761,EDNRB
1.0,,,35704945,EDNRB
1.0,,,36852722,EDNRB
1.0,,,34804939,EDNRB
1.0,,,41509540,EDNRB
1.0,,,41063975,EDNRB
1.0,,,39040193,EDNRB
